order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO-10003,45,166,2023-04-03,2023-04-08,2023-04-17,2425.75,5,485.15
SO-10006,47,233,2018-01-03,2018-01-16,,814.9,5,162.98
SO-10009,31,165,2018-09-17,2018-09-28,2018-10-06,1878.28,4,469.57
SO-10011,42,210,2021-08-12,2021-08-14,2021-08-15,3117.45,5,623.49
SO-10012,26,55,2023-06-12,2023-06-16,2023-06-17,165.08,1,165.08
SO-10015,76,132,2018-07-21,,2018-07-30,349.55,5,69.91
SO-10016,60,411,2018-09-06,2018-09-12,2018-09-20,2614.36,4,653.59
SO-10019,6,376,2018-10-16,2018-10-30,2018-11-03,3149.34,1,3149.34
SO-10022,50,98,2020-03-02,2020-03-11,2020-03-21,219.96,2,109.98
SO-10025,14,393,2024-06-19,2024-06-25,2024-07-05,10018.12,4,2504.53
SO-10028,52,259,2021-10-14,2021-10-25,2021-10-27,1522.95,5,304.59
SO-10030,109,191,2022-08-16,2022-08-29,2022-09-08,986.6,4,246.65
SO-10032,99,282,2020-11-06,,2020-11-19,625.44,4,156.36
SO-10033,67,70,2021-05-21,2021-05-22,2021-05-26,680.28,2,340.14
SO-10035,71,262,2024-03-28,2024-04-07,2024-04-16,148.86,2,74.43
SO-10009,32,120,2020-11-15,2020-11-28,2020-12-02,351.1,1,351.1
SO-10040,23,250,2024-06-18,2024-07-02,2024-07-03,1789.75,5,357.95
SO-10041,99,172,2021-11-26,2021-12-10,2021-12-16,620.16,4,155.04
SO-10044,2,325,2022-04-16,2022-04-17,2022-04-21,13147.05,5,2629.41
SO-10045,20,26,2022-05-29,2022-06-06,2022-06-15,17079.3,5,3415.86
SO-10046,44,43,2023-05-04,2023-05-14,2023-05-14,562.1,5,112.42
SO-10047,98,70,2023-05-24,2023-06-02,2023-06-05,780.84,4,195.21
SO-10050,32,125,2018-10-21,2018-10-26,2018-11-01,1091.82,3,363.94
SO-10052,45,98,2021-08-06,2021-08-12,2021-08-21,593.99,1,593.99
SO-10016,80,75,2022-12-10,2022-12-11,2022-12-14,108.74,2,54.37
SO-10055,80,475,2019-08-28,2019-09-11,2019-09-15,48.63,1,48.63
SO-10057,27,379,2024-01-13,2024-01-17,2024-01-20,2728.6,5,545.72
SO-10058,89,358,2018-03-17,2018-03-24,2018-04-02,64.5,5,12.9
SO-10061,35,28,2023-03-20,2023-03-31,2023-03-31,455.19,1,455.19
SO-10062,3,150,2022-05-03,2022-05-07,2022-05-13,16409.45,5,3281.89
SO-10065,12,96,2020-03-25,,2020-04-10,12396.75,5,2479.35
SO-10067,63,202,2019-10-06,2019-10-07,2019-10-12,128.34,3,42.78
SO-10069,104,32,2020-11-21,2020-11-28,2020-11-28,610.5,5,122.1
SO-10070,12,374,2022-04-15,2022-04-24,2022-05-04,12205.75,5,2441.15
SO-10072,40,466,2024-10-15,2024-10-21,2024-10-28,643.05,5,128.61
SO-10073,111,71,2021-06-19,2021-07-01,2021-07-09,484.32,2,242.16
SO-10044,21,163,2018-10-05,2018-10-14,2018-10-22,524.31,1,524.31
SO-10033,53,156,2022-12-20,2023-01-01,2023-01-11,857.25,3,285.75
SO-10081,73,314,2020-08-03,2020-08-13,2020-08-16,75.6,2,37.8
SO-10084,109,310,2023-04-05,2023-04-17,2023-04-27,599.43,3,199.81
SO-10057,5,210,2018-03-03,2018-03-08,2018-03-14,7237.16,2,3618.58
SO-10088,63,353,2021-08-23,2021-09-06,2021-09-13,87.68,2,43.84
SO-10011,41,202,2024-11-09,2024-11-21,2024-11-30,2857.75,5,571.55
SO-10093,59,424,2018-06-23,2018-06-27,2018-07-05,1793.15,5,358.63
SO-10096,7,98,2021-04-07,2021-04-15,2021-04-21,1801.17,3,600.39
SO-10097,89,265,2019-08-06,2019-08-14,2019-08-24,52.52,4,13.13
SO-10100,70,70,2022-05-30,2022-06-06,2022-06-11,221.8,4,55.45
SO-10102,12,129,2021-08-20,2021-09-01,2021-09-11,4662.52,2,2331.26
SO-10104,11,269,2022-04-23,2022-05-05,2022-05-13,22908.05,5,4581.61
SO-10106,73,447,2019-09-07,2019-09-10,2019-09-12,77.5,2,38.75
SO-10108,37,321,2020-01-11,2020-01-13,,308.24,2,154.12
SO-10110,70,414,2018-01-24,2018-02-03,2018-02-10,119.14,2,59.57
SO-10113,77,4,2020-09-29,2020-10-08,2020-10-12,455.75,5,91.15
SO-10088,84,179,2018-05-31,2018-06-03,2018-06-03,173.85,5,34.77
SO-10115,21,345,2021-03-10,2021-03-20,2021-03-30,2992.95,5,598.59
SO-10104,5,48,2021-05-10,2021-05-16,2021-05-21,14816.2,4,3704.05
SO-10035,16,356,2021-01-29,2021-02-04,2021-02-12,8600.4,4,2150.1
SO-10121,68,45,2023-06-05,2023-06-17,2023-06-26,140.85,3,46.95
SO-10124,46,475,2019-06-16,2019-06-26,2019-07-05,237.48,4,59.37
SO-10127,30,363,2021-04-04,2021-04-08,2021-04-08,296.69,1,296.69
SO-10130,54,212,2018-07-06,2018-07-12,2018-07-17,1834.95,5,366.99
SO-10132,102,35,2021-06-14,,2021-06-27,771.1,5,154.22
SO-10135,73,316,2018-04-30,2018-05-14,2018-05-16,67.28,2,33.64
SO-10136,83,70,2023-05-27,2023-05-30,2023-06-09,293.16,4,73.29
SO-10138,96,29,2023-11-05,,2023-11-19,652.35,3,217.45
SO-10140,9,497,2019-09-04,2019-09-09,2019-09-09,8342.82,3,2780.94
SO-10142,24,305,2019-04-24,2019-05-08,2019-05-12,474.96,3,158.32
SO-10144,58,425,2021-05-24,2021-05-28,2021-06-05,553.68,3,184.56
SO-10145,57,260,2018-04-13,2018-04-26,2018-05-03,2032.95,5,406.59
SO-10147,100,168,2019-08-10,2019-08-23,2019-08-24,1261.15,5,252.23
SO-10150,111,268,2019-04-20,2019-04-21,2019-04-25,263.0,1,263.0
SO-10151,14,267,2021-07-03,2021-07-04,2021-07-13,7366.71,3,2455.57
SO-10154,41,396,2022-12-12,2022-12-23,,1500.12,3,500.04
SO-10157,14,106,2024-02-01,2024-02-07,2024-02-15,6518.52,3,2172.84
SO-10030,10,160,2024-11-16,,2024-11-30,10733.52,4,2683.38
SO-10159,12,219,2022-05-25,2022-05-28,2022-06-06,11339.75,5,2267.95
SO-10161,105,102,2023-12-26,2023-12-28,2024-01-04,138.0,5,27.6
SO-10163,40,351,2023-03-22,2023-03-30,2023-04-02,258.36,2,129.18
SO-10164,90,470,2021-09-15,2021-09-28,2021-10-03,866.64,4,216.66
SO-10102,37,394,2021-11-28,2021-12-08,2021-12-17,369.0,2,184.5
SO-10167,69,237,2022-06-30,2022-07-10,2022-07-16,215.66,2,107.83
SO-10169,27,417,2024-08-17,2024-08-24,2024-08-30,2962.65,5,592.53
SO-10170,95,477,2024-06-09,2024-06-23,2024-06-30,75.36,1,75.36
SO-10171,40,490,2022-07-21,2022-07-23,2022-08-01,155.11,1,155.11
SO-10062,85,32,2019-01-06,2019-01-10,,414.35,5,82.87
SO-10176,69,150,2022-05-17,2022-05-27,2022-06-05,373.6,4,93.4
SO-10179,39,471,2022-11-16,2022-11-28,2022-12-03,538.13,1,538.13
SO-10181,8,190,2024-02-27,2024-02-28,2024-02-28,10013.45,5,2002.69
SO-10182,56,360,2024-08-14,2024-08-21,2024-08-31,255.69,3,85.23
SO-10183,61,72,2020-02-10,2020-02-19,2020-02-25,645.36,3,215.12
SO-10184,2,37,2018-03-06,2018-03-09,2018-03-16,14299.8,4,3574.95
SO-10186,101,357,2024-10-11,2024-10-18,2024-10-27,242.88,2,121.44
SO-10187,24,218,2024-10-12,2024-10-13,2024-10-22,659.84,4,164.96
SO-10190,74,188,2018-05-18,2018-05-19,2018-05-28,228.0,4,57.0
SO-10191,94,375,2023-11-27,2023-12-11,2023-12-15,159.16,4,39.79
SO-10194,95,340,2018-11-16,2018-11-27,2018-12-07,401.45,5,80.29
SO-10195,61,233,2023-10-01,2023-10-09,2023-10-18,565.74,3,188.58
SO-10196,89,473,2024-09-13,2024-09-25,2024-09-29,69.9,5,13.98
SO-10199,38,415,2018-04-22,2018-04-27,2018-05-04,130.7,1,130.7
SO-10202,36,141,2020-11-18,2020-11-19,2020-11-20,1189.1,5,237.82
SO-10157,34,401,2020-08-25,2020-09-02,2020-09-04,2066.5,5,413.3
SO-10205,97,212,2022-04-19,2022-04-23,2022-05-03,477.76,4,119.44
SO-10206,83,136,2019-04-21,2019-04-22,2019-04-24,251.2,4,62.8
SO-10209,30,195,2022-05-17,2022-05-25,2022-05-29,709.88,2,354.94
SO-10211,87,162,2023-12-12,2023-12-23,2023-12-23,18.05,1,18.05
SO-10214,110,140,2021-10-04,2021-10-09,2021-10-13,176.33,1,176.33
SO-10215,94,345,2024-08-08,2024-08-21,2024-08-24,187.35,5,37.47
SO-10218,2,426,2018-10-06,2018-10-07,2018-10-13,3119.58,1,3119.58
SO-10220,25,18,2018-04-08,2018-04-18,2018-04-19,208.7,1,208.7
SO-10223,16,363,2019-05-07,2019-05-09,2019-05-18,4092.62,2,2046.31
SO-10224,15,357,2020-01-25,2020-01-30,2020-02-03,16715.0,4,4178.75
SO-10226,89,463,2021-08-17,2021-08-22,2021-08-24,14.06,1,14.06
SO-10228,105,136,2019-12-30,2020-01-07,2020-01-08,145.2,4,36.3
SO-10163,19,277,2022-11-02,2022-11-06,2022-11-15,2177.06,1,2177.06
SO-10232,33,398,2023-01-01,,2023-01-09,603.44,2,301.72
SO-10233,90,169,2022-05-22,2022-06-01,2022-06-01,1161.65,5,232.33
SO-10147,100,416,2018-10-15,2018-10-24,2018-10-27,229.42,1,229.42
SO-10238,43,350,2021-05-25,2021-06-01,2021-06-01,120.64,1,120.64
SO-10186,83,104,2019-12-25,2020-01-03,2020-01-03,273.48,4,68.37
SO-10242,63,44,2022-11-29,,2022-12-14,76.16,2,38.08
SO-10244,9,406,2024-01-24,2024-02-04,2024-02-08,9710.4,4,2427.6
SO-10245,44,29,2021-10-15,2021-10-28,2021-10-28,406.92,4,101.73
SO-10248,112,448,2024-01-07,2024-01-10,2024-01-19,195.68,2,97.84
SO-10250,80,24,2020-09-21,2020-10-03,2020-10-13,86.22,2,43.11
SO-10251,59,313,2019-12-01,2019-12-15,2019-12-24,409.94,1,409.94
SO-10159,9,412,2020-04-10,2020-04-17,2020-04-22,9051.28,4,2262.82
SO-10253,98,24,2024-08-26,2024-08-29,2024-09-03,177.05,1,177.05
SO-10256,22,225,2020-09-24,2020-10-04,2020-10-04,3434.92,2,1717.46
SO-10257,63,42,2018-01-27,2018-01-28,2018-01-30,47.95,1,47.95
